Fact,"Garden Grove city, California","Fullerton city, California","Fountain Valley city, California","Dana Point city, California","Cypress city, California","Laguna Beach city, California","La Palma city, California","La Habra city, California","Irvine city, California","Huntington Beach city, California","Yorba Linda city, California","Westminster city, California","Villa Park city, California","Tustin city, California","Los Alamitos city, California","Lake Forest city, California","Laguna Woods city, California","Laguna Niguel city, California","Laguna Hills city, California","Rancho Santa Margarita city, California","Placentia city, California","Orange city, California","Newport Beach city, California","Mission Viejo city, California","Costa Mesa city, California","Buena Park city, California","Brea city, California","Anaheim city, California","Aliso Viejo city, California","Stanton city, California","Seal Beach city, California","Santa Ana city, California","San Juan Capistrano city, California","San Clemente city, California"
% Bachelor's degree or higher (Age 25+),21.10%,41.20%,42.90%,50.60%,42.20%,67.00%,47.50%,27.40%,68.50%,42.90%,53.40%,25.90%,53.00%,42.60%,46.30%,46.90%,48.30%,53.30%,49.40%,51.50%,38.60%,36.50%,66.70%,47.60%,40.00%,29.90%,45.30%,25.50%,55.50%,16.60%,49.20%,14.00%,37.50%,49.30%
% With a disability (under age 65) ,5.70%,5.80%,7.30%,4.70%,5.50%,4.30%,4.30%,6.30%,3.10%,5.60%,4.00%,7.50%,5.60%,5.20%,5.60%,4.60%,14.40%,4.40%,4.60%,4.00%,4.10%,5.10%,4.20%,5.00%,5.10%,5.50%,4.40%,5.30%,4.30%,7.20%,5.90%,5.20%,5.40%,3.70%
% Without health insurance (under age 65),10.20%,9.00%,7.00%,8.60%,6.20%,4.60%,7.10%,10.60%,4.90%,7.00%,3.70%,9.00%,4.00%,9.60%,7.60%,8.00%,4.00%,4.50%,7.00%,4.50%,7.50%,8.90%,4.10%,5.70%,13.90%,11.50%,4.80%,14.40%,4.50%,13.10%,4.40%,19.00%,11.90%,6.30%
"% In civilian labor force, total (Age 16+)",63.60%,65.40%,60.60%,64.10%,63.70%,63.20%,59.60%,67.90%,63.40%,66.60%,63.90%,59.70%,50.90%,71.90%,64.50%,71.70%,19.80%,65.80%,67.30%,73.70%,67.20%,64.80%,62.00%,65.70%,72.30%,65.10%,68.80%,67.20%,76.40%,64.40%,48.50%,67.50%,59.50%,63.90%
% of Females In civilian labor force (Age 16+),57.50%,59.30%,55.40%,58.10%,57.30%,56.80%,53.60%,62.40%,54.80%,60.90%,57.40%,53.60%,40.50%,64.40%,60.60%,65.40%,18.20%,58.40%,59.80%,65.80%,61.80%,60.20%,53.30%,58.50%,65.40%,58.70%,63.00%,59.80%,70.00%,55.00%,43.90%,58.50%,50.90%,57.80%
"Total accommodation and food services sales ($1,000)","389,695","293,087","128,292","299,208","88,290","251,224","24,576","102,631","907,926","534,833","83,514","144,492","2,507","224,780","56,255","173,143","19,544","110,263","103,471","76,359","74,534","424,153","804,986","184,156","530,564","183,615","232,724","1,589,090","87,073","52,938","101,939","462,834","72,021","136,171"
"Total retail sales ($1,000)","1,656,248","1,516,437","1,298,554","340,401","613,959","202,302","117,879","912,087","4,254,423","2,505,584","565,204","1,466,399","26,993","2,205,647","170,848","1,068,064","134,147","1,253,951","452,643","540,596","356,104","2,152,869","2,885,365","1,726,539","3,815,534","1,731,094","1,260,399","3,757,876","500,316","386,502","338,664","3,169,405","714,415","670,220"
Total retail sales per capita,"$9,497 ","$10,943 ","$22,998 ","$9,998 ","$12,587 ","$8,729 ","$7,432 ","$14,857 ","$18,499 ","$12,868 ","$8,469 ","$16,048 ","$4,556 ","$28,260 ","$14,642 ","$13,545 ","$8,134 ","$19,456 ","$14,625 ","$11,060 ","$6,891 ","$15,442 ","$33,139 ","$18,119 ","$34,092 ","$21,071 ","$31,252 ","$10,948 ","$10,109 ","$9,932 ","$13,731 ","$9,578 ","$20,204 ","$10,330 "
Mean travel time to work (minutes),28.4,30.2,27.9,28.3,31.7,27.9,31.9,30.1,25.6,29.7,33.7,28.2,26.7,24.3,29.9,26,23.2,29.3,24.7,29.7,28.6,26.1,25.2,28.1,22.7,30.8,33.5,28.5,26.4,29.1,31.9,25.3,24,29.5
Median household income,"$65,591 ","$73,360 ","$85,423 ","$97,519 ","$92,098 ","$121,474 ","$98,788 ","$76,452 ","$100,969 ","$91,318 ","$129,391 ","$61,834 ","$145,250 ","$79,339 ","$84,068 ","$104,449 ","$41,928 ","$103,910 ","$98,168 ","$115,073 ","$89,690 ","$86,027 ","$122,709 ","$114,688 ","$79,207 ","$72,814 ","$93,703 ","$69,443 ","$108,558 ","$56,506 ","$67,917 ","$61,774 ","$87,353 ","$105,812 "
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","$24,520 ","$34,296 ","$38,149 ","$61,281 ","$37,262 ","$92,391 ","$39,902 ","$30,168 ","$48,166 ","$47,078 ","$54,101 ","$27,603 ","$71,488 ","$36,982 ","$38,163 ","$44,999 ","$40,882 ","$55,659 ","$48,377 ","$51,219 ","$36,499 ","$35,737 ","$90,042 ","$48,616 ","$39,028 ","$28,224 ","$42,302 ","$27,501 ","$48,053 ","$21,445 ","$56,256 ","$19,517 ","$47,077 ","$56,681 "
"% Persons in poverty, percent",15.10%,13.40%,8.60%,6.70%,5.80%,6.80%,4.90%,11.50%,13.30%,8.80%,4.20%,15.90%,6.40%,12.30%,9.10%,7.10%,11.90%,8.10%,8.70%,4.20%,9.00%,13.00%,6.60%,5.00%,13.00%,13.60%,6.50%,15.20%,4.20%,18.90%,6.30%,17.70%,9.70%,5.50%
All firms,"18,055","12,133","7,429","5,701","4,424","4,944","1,446","5,085","31,874","22,860","7,472","11,329",757,"9,137","1,951","9,093","1,223","7,624","5,115","4,937","4,841","16,845","18,935","11,441","15,768","7,048","5,534","29,541","5,818","2,620","2,696","26,432","4,827","8,833"
Population per square mile,"9,524.70","6,046.70","6,133.60","5,133.30","7,263.60","2,567.60","8,610.60","8,173.50","3,212.60","7,103.00","3,296.90","8,926.40","2,796.90","6,816.50","2,826.90","4,336.80","5,198.10","4,245.90","4,549.30","3,693.20","7,693.80","5,501.30","3,578.50","5,259.90","7,024.40","7,652.00","3,252.40","6,747.60","6,400.30","12,122.50","2,141.40","11,900.60","2,450.80","3,394.90"
Land area in square miles,17.94,22.35,9.02,6.5,6.58,8.85,1.81,7.37,66.11,26.75,19.48,10.05,2.08,11.08,4.05,17.82,3.12,14.83,6.67,12.96,6.57,24.8,23.81,17.74,15.65,10.52,12.08,49.84,7.47,3.15,11.29,27.27,14.12,18.71
